"talk_id","title","speaker_1","first occupation","second occupation","recorded_date","published_date","event","native_lang","url.x","num_speakers","num_lang","comments","duration_ted","languages","num_speaker","view_ted","view_yt","categories","duration_yt","dislike_count","like_count","average_rating"
1914,"Why smart statistics are the key to fighting crime","Anne Milgram","criminal justice reformer",NA,2013-10-30,2014-01-28,"TED@BCG San Francisco","en","https://www.ted.com/talks/anne_milgram_why_smart_statistics_are_the_key_to_fighting_crime/",1,26,161,761,24,1,877932,111436,"News & Politics",762,53,1191,4.82958221436
1915,"Want to be an activist? Start with your toys","McKenna Pope","teen activist",NA,2013-11-23,2014-01-29,"TEDYouth 2013","en","https://www.ted.com/talks/mckenna_pope_want_to_be_an_activist_start_with_your_toys/",1,38,106,322,38,1,917406,16311,"Nonprofits & Activism",322,62,172,3.94017100334
1916,"Puppies! Now that I¡¯ve got your attention, complexity theory","Nicolas Perony","animal scientist",NA,2013-10-03,2014-01-30,"TEDxZurich 2013","en","https://www.ted.com/talks/nicolas_perony_puppies_now_that_i_ve_got_your_attention_complexity_theory/",1,24,44,825,24,1,965291,101879,"Science & Technology",825,42,1219,4.86677217484
1917,"Meet a young entrepreneur, cartoonist, designer, activist ...","Maya Penn","entrepreneur","animator",2013-12-05,2014-01-31,"TEDWomen 2013","en","https://www.ted.com/talks/maya_penn_meet_a_young_entrepreneur_cartoonist_designer_activist/",1,38,116,436,38,1,1458485,179955,"Howto & Style",436,267,2768,4.64810562134
1918,"How we turned the tide on domestic violence (Hint: the Polaroid helped)","Esta Soler","violence and abuse prevention expert",NA,2013-12-05,2014-02-03,"TEDWomen 2013","en","https://www.ted.com/talks/esta_soler_how_we_turned_the_tide_on_domestic_violence_hint_the_polaroid_helped/",1,31,76,670,31,1,1034678,93620,"Nonprofits & Activism",670,175,703,4.20273351669
1919,"The world is one big dataset. Now, how to photograph it ...","Dan Berkenstock","satellite designer",NA,2013-10-30,2014-02-04,"TED@BCG San Francisco","en","https://www.ted.com/talks/dan_berkenstock_the_world_is_one_big_dataset_now_how_to_photograph_it/",1,26,36,584,25,1,836011,54876,"Science & Technology",584,38,599,4.76138162613
1920,"How architectural innovations migrate across borders","Teddy Cruz","architect and urbanist",NA,2013-06-12,2014-02-05,"TEDGlobal 2013","en","https://www.ted.com/talks/teddy_cruz_how_architectural_innovations_migrate_across_borders/",1,25,36,794,25,1,691538,41769,"Travel & Events",794,44,407,4.60975599289
1922,"A new equation for intelligence","Alex Wissner-Gross","scientist","entrepreneur",2013-11-26,2014-02-06,"TEDxBeaconStreet","en","https://www.ted.com/talks/alex_wissner_gross_a_new_equation_for_intelligence/",1,27,316,708,27,1,1977165,181417,"Science & Technology",709,368,2863,4.54441356659
1921,"Art that craves your attention","Aparna Rao","artist",NA,2013-08-06,2014-02-07,"TED Fellows Retreat 2013","en","https://www.ted.com/talks/aparna_rao_art_that_craves_your_attention/",1,31,51,536,31,1,1063414,88671,"Entertainment",536,31,2020,4.93954181671
1926,"Paper beats plastic? How to rethink environmental folklore","Leyla Acaroglu","sustainability strategist",NA,2013-02-28,2014-02-11,"TED2013","en","https://www.ted.com/talks/leyla_acaroglu_paper_beats_plastic_how_to_rethink_environmental_folklore/",1,30,148,1087,30,1,1227480,198011,"Nonprofits & Activism",1087,123,2095,4.77817869186
1927,"The investment logic for sustainability","Chris McKnett","sustainable investment champion",NA,2013-11-26,2014-02-12,"TED@State Street Boston","en","https://www.ted.com/talks/chris_mcknett_the_investment_logic_for_sustainability/",1,26,50,739,23,1,970911,90514,"News & Politics",739,50,838,4.77477455139
1928,"Synthetic voices, as unique as fingerprints","Rupal Patel","speech scientist",NA,2013-12-05,2014-02-13,"TEDWomen 2013","en","https://www.ted.com/talks/rupal_patel_synthetic_voices_as_unique_as_fingerprints/",1,32,63,704,32,1,853612,84127,"Science & Technology",704,48,1188,4.84466028214
1925,"Love -- you're doing it wrong","Yann Dall'Aglio","philosopher",NA,2012-10-12,2014-02-14,"TEDxParis 2012","fr","https://www.ted.com/talks/yann_dall_aglio_love_you_re_doing_it_wrong/",1,31,208,642,31,1,3840850,407966,"Entertainment",643,196,3666,4.79699659348
1845,"A new way to grow bone","Molly Stevens","biomaterials researcher",NA,2013-06-27,2014-02-18,"TEDGlobal 2013","en","https://www.ted.com/talks/molly_stevens_a_new_way_to_grow_bone/",1,22,52,892,22,1,1185518,79826,"Science & Technology",892,28,928,4.88284540176
1930,"What it takes to be a great leader","Roselinde Torres","leadership expert",NA,2013-10-30,2014-02-19,"TED@BCG San Francisco","en","https://www.ted.com/talks/roselinde_torres_what_it_takes_to_be_a_great_leader/",1,35,146,559,34,1,3685420,583218,"People & Blogs",560,396,3040,4.53899860382
1931,"Are we designed to be sexual omnivores?","Christopher Ryan","psychologist",NA,2013-02-28,2014-02-20,"TED2013","en","https://www.ted.com/talks/christopher_ryan_are_we_designed_to_be_sexual_omnivores/",1,27,290,842,26,1,1981978,288079,"People & Blogs",842,315,4781,4.75274705887
1932,"We're all hiding something. Let's find the courage to open up","Ash Beckham","equality advocate",NA,2013-09-13,2014-02-21,"TEDxBoulder","en","https://www.ted.com/talks/ash_beckham_we_re_all_hiding_something_let_s_find_the_courage_to_open_up/",1,30,158,562,30,1,2628178,204711,"People & Blogs",562,162,2881,4.78705215454
1935,"Can the damaged brain repair itself?","Siddharthan Chandran","regenerative neurologist",NA,2013-07-15,2014-02-24,"TEDGlobal 2013","en","https://www.ted.com/talks/siddharthan_chandran_can_the_damaged_brain_repair_itself/",1,26,78,957,26,1,1022945,114890,"Science & Technology",957,31,1884,4.9352478981
1933,"Why good hackers make good citizens","Catherine Bracy","hacker","community manager",2013-09-20,2014-02-25,"TEDCity2.0","en","https://www.ted.com/talks/catherine_bracy_why_good_hackers_make_good_citizens/",1,28,110,590,26,1,849933,75639,"Nonprofits & Activism",590,217,1153,4.36642313004
1929,"We need money for aid. So let¡¯s print it.","Michael Metcalfe","financial expert",NA,2013-11-06,2014-02-26,"TED@State Street Boston","en","https://www.ted.com/talks/michael_metcalfe_we_need_money_for_aid_so_let_s_print_it/",1,23,164,864,23,1,756974,55594,"News & Politics",864,655,501,2.73356389999
1936,"What we can learn from galaxies far, far away","Henry Lin","student scientist",NA,2013-11-19,2014-02-27,"TEDYouth 2013","en","https://www.ted.com/talks/henry_lin_what_we_can_learn_from_galaxies_far_far_away/",1,35,107,403,33,1,1304017,59558,"Science & Technology",403,24,1152,4.91836738586
1937,"The 3 agencies with the power to make or break economies","Annette Heuser","rating agency reformer",NA,2013-06-07,2014-02-28,"TEDGlobal 2013","en","https://www.ted.com/talks/annette_heuser_the_3_agencies_with_the_power_to_make_or_break_economies/",1,30,92,589,30,1,1210381,78809,"News & Politics",590,88,995,4.67497682571
1939,"Could future devices read images from our brains?","Mary Lou Jepsen","inventor","entrepreneur",2013-03-12,2014-03-03,"TED2013","en","https://www.ted.com/talks/mary_lou_jepsen_could_future_devices_read_images_from_our_brains/",1,30,99,626,30,1,931677,66636,"Science & Technology",627,36,1055,4.86801099777
1938,"How data will transform business","Philip Evans","consultant",NA,2013-11-11,2014-03-04,"TED@BCG San Francisco","en","https://www.ted.com/talks/philip_evans_how_data_will_transform_business/",1,22,65,837,22,1,1395038,177842,"Science & Technology",838,79,1650,4.81723546982
1940,"Government surveillance ¡ª this is just the beginning","Christopher Soghoian","privacy researcher and activist",NA,2013-08-12,2014-03-05,"TED Fellows Retreat 2013","en","https://www.ted.com/talks/christopher_soghoian_government_surveillance_this_is_just_the_beginning/",1,32,86,498,31,1,822505,104469,"News & Politics",499,33,2057,4.93684196472
1942,"My DNA vending machine","Gabriel Barcia-Colombo","video sculptor",NA,2013-08-19,2014-03-06,"TED Fellows Retreat 2013","en","https://www.ted.com/talks/gabe_barcia_colombo_my_dna_vending_machine/",1,32,64,296,32,1,795097,61090,"Science & Technology",296,358,443,3.21223473549
1941,"A 50-cent microscope that folds like origami","Manu Prakash","physicist","inventor",2012-06-26,2014-03-07,"TEDGlobal 2012","en","https://www.ted.com/talks/manu_prakash_a_50_cent_microscope_that_folds_like_origami/",1,31,201,561,31,1,1797519,432969,"Science & Technology",561,66,9235,4.97161579132
1934,"A word game to communicate in any language","Ajit Narayanan","visual grammar engine inventor",NA,2013-02-27,2014-03-10,"TED2013","en","https://www.ted.com/talks/ajit_narayanan_a_word_game_to_communicate_in_any_language/",1,28,222,943,27,1,1256969,97239,"Education",943,54,2027,4.89620351791
1943,"Can we all ""have it all""?","Anne-Marie Slaughter","public policy thinker",NA,2013-06-11,2014-03-12,"TEDGlobal 2013","en","https://www.ted.com/talks/anne_marie_slaughter_can_we_all_have_it_all/",1,24,185,1031,24,1,1424893,119028,"Nonprofits & Activism",1032,274,1322,4.31328344345
1944,"You don't need an app for that","Toby Shapshak","technology writer",NA,2013-07-17,2014-03-13,"TEDGlobal 2013","en","https://www.ted.com/talks/toby_shapshak_you_don_t_need_an_app_for_that/",1,33,140,474,33,1,1474261,122295,"Science & Technology",475,177,1945,4.66635227203
1945,"The birds and the bees are just the beginning","Carin Bondar","wild sex biologist",NA,2013-06-12,2014-03-14,"TEDGlobal 2013","en","https://www.ted.com/talks/carin_bondar_the_birds_and_the_bees_are_just_the_beginning/",1,26,79,587,26,1,2379244,158682,"Science & Technology",587,164,1613,4.63083839417
1948,"The long reach of reason","Rebecca Newberger Goldstein","philosopher and writer","psychologist",2012-02-19,2014-03-17,"TED2012","en","https://www.ted.com/talks/steven_pinker_and_rebecca_newberger_goldstein_the_long_reach_of_reason/",2,24,177,924,24,2,991359,110788,"People & Blogs",924,170,2524,4.74758720398
1946,"The neuroscience of restorative justice","Dan Reisel","neuroscientist",NA,2013-02-27,2014-03-18,"TED2013","en","https://www.ted.com/talks/dan_reisel_the_neuroscience_of_restorative_justice/",1,27,119,875,27,1,734861,106522,"Science & Technology",876,36,1277,4.89032745361
1950,"Here's how we take back the Internet","Edward Snowden","whistleblower",NA,2014-03-18,2014-03-19,"TED2014","en","https://www.ted.com/talks/edward_snowden_here_s_how_we_take_back_the_internet/",1,31,421,2102,31,1,4040280,1931670,"News & Politics",2118,665,27448,4.90538167953
1951,"What I learned from going blind in space","Chris Hadfield","astronaut",NA,2014-03-18,2014-03-19,"TED2014","en","https://www.ted.com/talks/chris_hadfield_what_i_learned_from_going_blind_in_space/",1,29,172,1102,29,1,4790701,3052596,"Science & Technology",1102,651,72311,4.96431016922
